,CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU
20,WoodDeckSF,OverallQual,YrSold,MasVnrType_None,OverallQual,MoSold,HouseStyle_SLvl,YearRemodAdd,FireplaceQu,LotArea,BsmtFullBath,MoSold,LandContour_Lvl,GarageYrBlt,LotFrontage,BsmtUnfSF,MasVnrType_None,1stFlrSF,GarageType,BsmtCond,HalfBath,TotRmsAbvGrd,BldgType_TwnhsE,LotArea
21,BsmtFinType1,LotArea,YearBuilt,Exterior1st_MetalSd,MoSold,BsmtExposure,RoofStyle_Hip,GarageType,YearRemodAdd,BsmtFinSF2,YrSold,SaleCondition,BsmtCond,YearRemodAdd,2ndFlrSF,Electrical_SBrkr,MoSold,SaleCondition,FullBath,Fireplaces,OverallCond,BsmtFinType1,Exterior2nd_ImStucc,LotFrontage
22,Fireplaces,WoodDeckSF,Exterior2nd_Wd Shng,GarageFinish,SaleType_WD,FullBath,Fence,YearBuilt,HalfBath,OverallCond,LotConfig_Inside,TotRmsAbvGrd,MasVnrArea,OpenPorchSF,BedroomAbvGr,OpenPorchSF,FullBath,ExterQual,BsmtFinType1,YearRemodAdd,WoodDeckSF,SaleType_WD,YearRemodAdd,CentralAir
23,RoofStyle_Hip,BldgType_TwnhsE,EnclosedPorch,EnclosedPorch,GarageFinish,LotFrontage,SaleCondition,BsmtExposure,YearBuilt,Foundation_CBlock,TotalBsmtSF,BsmtUnfSF,BsmtExposure,GarageCars,HeatingQC,BsmtFinSF1,HouseStyle_SLvl,LotConfig_Inside,EnclosedPorch,2ndFlrSF,Exterior2nd_Plywood,BsmtHalfBath,TotRmsAbvGrd,BsmtHalfBath
24,MoSold,GrLivArea,Exterior2nd_Stucco,Exterior1st_HdBoard,TotRmsAbvGrd,BedroomAbvGr,TotalBsmtSF,BsmtFinType1,Exterior1st_VinylSd,Fireplaces,2ndFlrSF,GarageType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,MoSold,LotFrontage,LotFrontage,WoodDeckSF,BsmtFullBath,,FullBath,KitchenQual,Fireplaces
25,3SsnPorch,ExterQual,2ndFlrSF,Exterior1st_Wd Sdng,EnclosedPorch,Exterior2nd_MetalSd,LotArea,OpenPorchSF,GarageArea,GrLivArea,SaleType_WD,GarageCars,GarageCond,Exterior2nd_Wd Sdng,BsmtUnfSF,LandContour_Lvl,BsmtFinType1,LotShape,Exterior2nd_VinylSd,MSSubClass,,HalfBath,Exterior1st_HdBoard,YearBuilt
26,KitchenQual,BsmtExposure,Fireplaces,Fence,SaleType_Oth,MasVnrArea,BsmtFinSF1,Exterior1st_MetalSd,OpenPorchSF,BsmtHalfBath,3SsnPorch,ScreenPorch,GarageQual,KitchenQual,Fence,Condition1_Norm,Electrical_SBrkr,Condition1_Norm,BsmtUnfSF,OpenPorchSF,,Exterior2nd_Wd Shng,LotFrontage,OpenPorchSF
27,BsmtUnfSF,LandContour_Lvl,Exterior1st_VinylSd,Exterior2nd_VinylSd,BsmtFinType2,Alley,BsmtHalfBath,GarageQual,HeatingQC,Functional,BsmtFinSF2,KitchenQual,BsmtUnfSF,Exterior2nd_VinylSd,Functional,MasVnrArea,Fireplaces,FireplaceQu,HalfBath,Functional,,MSZoning,GarageArea,BsmtExposure
28,YrSold,GarageFinish,BsmtHalfBath,Exterior2nd_MetalSd,Exterior2nd_Plywood,SaleCondition,HeatingQC,MasVnrType_BrkFace,Exterior1st_Wd Sdng,MasVnrArea,GarageFinish,1stFlrSF,GarageType,ExterCond,BsmtFinSF2,HeatingQC,LotConfig_CulDSac,HeatingQC,GarageYrBlt,BsmtUnfSF,,GarageFinish,BedroomAbvGr,Electrical_SBrkr
29,GarageYrBlt,YrSold,LotConfig_FR2,LandContour_Lvl,BsmtCond,HalfBath,FullBath,GarageYrBlt,BedroomAbvGr,BsmtQual,YearBuilt,BedroomAbvGr,GarageFinish,GarageQual,BsmtQual,LotFrontage,WoodDeckSF,BsmtFullBath,BsmtFinSF1,OverallQual,,LotFrontage,TotalBsmtSF,Foundation_PConc
30,BsmtExposure,GarageCars,GarageArea,LotConfig_Inside,LotShape,YrSold,Exterior1st_Wd Sdng,RoofMatl_WdShngl,LandContour_Lvl,HouseStyle_1Story,Exterior1st_VinylSd,BsmtFinSF2,2ndFlrSF,YearBuilt,BsmtFinType2,Electrical_FuseF,HeatingQC,Condition1_RRAn,HouseStyle_2Story,BedroomAbvGr,,Exterior1st_WdShing,,GarageType
31,Exterior1st_WdShing,GarageArea,HouseStyle_1.5Unf,YearBuilt,WoodDeckSF,FireplaceQu,MasVnrArea,YrSold,ScreenPorch,Exterior1st_MetalSd,LotShape,LotConfig_FR2,Exterior1st_Plywood,MasVnrType_None,MasVnrArea,GarageYrBlt,BsmtExposure,YrSold,Fireplaces,Exterior2nd_Wd Sdng,,MasVnrArea,,GarageCars
